,Name,Summary,Stock Type,Site,Market Cap,Net Income,Sales,Employees,Sector,Industry
ARA,American Renal Associates Holdings Inc,"American Renal Associates Holdings Inc through its subsidiary is engaged in providing kidney dialysis services for patients suffering from chronic kidney failure, also known as end stage renal disease, or ESRD.",Aggressive,http://www.americanrenal.com,0.7Bil,13.6Mil,0.7Bil,"4,030",Healthcare,Diagnostics & Research
AWR,American States Water Co,"American States Water Co through its subsidiary is engaged in the purchase, production and distribution of water. The Company also provides water and/or wastewater services at various military installations.",Slow,http://www.aswater.com,1.6Bil,60.1Mil,0.4Bil,"1,414",Utilities,Utilities - Regulated Water
AMT,American Tower Corp,"American Tower Corp is an owner, operator and developer of wireless and broadcast communications real estate. Its business segments are domestic rental and management, international rental & management, and network development services.",Aggressive,http://www.americantower.com,44.7Bil,1.0Bil,5.5Bil,"3,371",Communication Services,Telecom Services
AVD,American Vanguard Corp,"American Vanguard Corp is a specialty chemical manufacturer that develops and markets safe and effective products for agricultural, commercial and commercial uses. It manufactures and formulates chemicals for crops, human and animal protection.",Cyclical,http://www.american-vanguard.com,0.5Bil,11.9Mil,0.3Bil,347,Basic Materials,Agricultural Inputs
AWK,American Water Works Co Inc,"American Water Works Co Inc provides water and wastewater services to residential, commercial and industrial customers in the United States and Canada. Its operating segments are Regulated Businesses and Market-Based Operations.",Classic,http://www.amwater.com,12.8Bil,0.5Bil,3.3Bil,"6,700",Utilities,Utilities - Regulated Water
APU,AmeriGas Partners LP,"AmeriGas Partners LP is a retail propane distributor in the United States and conducts its business through its subsidiary, AmeriGas Propane, L.P.",Slow,http://www.amerigas.com,4.2Bil,0.2Bil,2.3Bil,"8,500",Utilities,Utilities - Regulated Gas
AMP,Ameriprise Financial Inc,Ameriprise Financial Inc is a diversified financial services company. The Company offers products and services designed to achieve the financial objectives of individual and institutional clients.,Cyclical,http://www.ameriprise.com,17.9Bil,1.3Bil,11.8Bil,"13,000",Financial Services,Asset Management
ABC,AmerisourceBergen Corp,"AmerisourceBergen Corp is a pharmaceutical services company. It provides drug distribution and related healthcare services and solutions to pharmacy, physician, and manufacturer customers based in the United States and Canada.",Speculative,http://www.amerisourcebergen.net,17.4Bil,1.6Bil,144.8Bil,"17,500",Healthcare,Medical Distribution
ANFI,Amira Nature Foods Ltd,"Amira Nature Foods Ltd is engaged in processing, distributing and marketing packaged Indian specialty rice, Basmati rice. It also sells non-basmati rice and provide ready-to-eat snacks and edible oils.",,http://www.amirafoods.com,0.3Bil,25.8Mil,0.6Bil,438,Consumer Defensive,Packaged Foods
AMN,AMN Healthcare Services Inc,"AMN Healthcare Services Inc provides healthcare workforce solutions and staffing services in the United States. The Company provides nurse and allied healthcare staffing, locum tenens staffing and physician permanent placement services.",Aggressive,http://www.amnhealthcare.com,1.6Bil,99.7Mil,1.8Bil,"2,550",Healthcare,Medical Care
AP,Ampco-Pittsburgh Corp,"Ampco-Pittsburgh Corp and its subsidiaries produces forged hardened steel rolls used in cold rolling by producers of steel, aluminum & other metals throughout the world. Its segments include Forged and Cast Engineered Products & Air and Liquid Processing.",Cyclical,http://www.ampcopittsburgh.com,0.2Bil,-33.4Mil,0.3Bil,"1,027",Industrials,Diversified Industrials
APH,Amphenol Corp Class A,"Amphenol Corporation designs, manufactures and markets electrical, electronic and fiber optic connectors, interconnect systems and coaxial and flat-ribbon cable.",Cyclical,http://www.amphenol.com,21.0Bil,0.8Bil,6.1Bil,"50,700",Technology,Electronic Components
BETR,Amplify Snack Brands Inc,Amplify Snack Brands Inc is a snack food company focused on developing and marketing products that appeal to consumers' growing preference for Better-For- You snacks.,,http://www.amplifysnackbrands.com,0.8Bil,23.2Mil,0.2Bil,45,Consumer Defensive,Packaged Foods
AXR,Amrep Corp,"Amrep Corp, through its subsidiaries, is engaged in the Real Estate business and the Fulfillment Services business.",Cyclical,http://www.amrepcorp.com,61.6Mil,-8.4Mil,44.3Mil,455,Industrials,Business Services
AME,AMETEK Inc,"AMETEK Inc is a manufacturer of electronic instruments and electromechanical devices with operations in North America, Europe, Asia and South America.",Cyclical,http://www.ametek.com,11.0Bil,0.5Bil,3.9Bil,"15,400",Industrials,Diversified Industrials
APC,Anadarko Petroleum Corp,"Anadarko Petroleum Corp is engaged in the exploration and production of oil and natural gas. The Company's three operating segments are: Oil and gas exploration and production, Midstream and Marketing.",Distressed,http://www.anadarko.com,34.4Bil,-3806.0Mil,7.5Bil,"5,800",Energy,Oil & Gas E&P
AU,Anglogold Ashanti Ltd ADR,Anglogold Ashanti Ltd is a gold mining and exploration company with a diverse portfolio of mining operations and projects on four continents. It has 20 operations in 11 countries.,,http://www.anglogold.com,4.7Bil,0.1Bil,3.9Bil,"52,266",Basic Materials,Gold
BUD,Anheuser-Busch InBev SA/NV ADR,,,http://www.ab-inbev.com,197.0Bil,3.9Bil,42.3Bil,"152,321",Consumer Defensive,Beverages - Brewers
AXE,Anixter International Inc,"Anixter International Inc is a supplier of communications and security products, fasteners and other small components. Its segment includes Enterprise Cabling and Security Solutions, Electrical and Electronic Wire and Cable and OEM Supply.",Cyclical,http://www.anixter.com,2.6Bil,88.3Mil,7.6Bil,"8,700",Industrials,Industrial Distribution
NLY,Annaly Capital Management Inc,"Annaly Capital Management Inc is a mortgage REIT company. The Company owns a portfolio of real estate related investments, including mortgage pass-through certificates, collateralized mortgage obligations, agency callable debentures & other securities.",Hard,http://www.annaly.com,10.2Bil,0.3Bil,0.5Bil,149,Real Estate,REIT - Diversified
AM,Antero Midstream Partners LP,"Antero Midstream Partners LP is engaged in providing midstream services to Antero under a long term, fixed-fee contract. Its assets consist of gathering pipelines and compressor stations.",Hard,http://www.anteromidstream.com,5.1Bil,0.2Bil,0.6Bil,,Energy,Oil & Gas Midstream
AR,Antero Resources Corp,"Antero Resources Corp is an independent oil and natural gas company. The Company is engaged in the exploration, development and acquisition of natural gas, NGLs and oil properties located in the Appalachian Basin.",Hard,http://www.anteroresources.com,7.8Bil,-204.6Mil,2.5Bil,516,Energy,Oil & Gas E&P
ANTM,Anthem Inc,"Anthem Inc is a health benefits company offering a network-based managed care plans to the large and small employer, individual, Medicaid and Medicare markets.",Slow,http://www.antheminc.com,35.7Bil,2.3Bil,83.3Bil,"53,000",Healthcare,Health Care Plans
ANTX,Anthem Inc,"Anthem Inc is a health benefits company offering a network-based managed care plans to the large and small employer, individual, Medicaid and Medicare markets.",Slow,http://www.antheminc.com,11.9Bil,2.3Bil,83.3Bil,"53,000",Healthcare,Health Care Plans
ANH,Anworth Mortgage Asset Corp,"Anworth Mortgage Asset Corp is engaged in the business of investment, financing and management of leveraged portfolio of residential mortgage-backed securities.",Distressed,http://www.anworth.com,0.5Bil,39.6Mil,53.8Mil,12,Real Estate,REIT - Diversified
AON,Aon PLC,"Aon PLC provides risk management services, insurance and reinsurance brokerage, and human resource consulting and outsourcing, delivering distinctive client value via effective risk management and workforce productivity solutions.",,http://www.aon.com,29.5Bil,1.5Bil,11.6Bil,"69,000",Financial Services,Insurance Brokers
APA,Apache Corp,"Apache Corp is an independent energy company that explores, develops and produces natural gas, crude oil and natural gas liquids.It has interests in six countries: the U.S., Canada, Egypt, Australia, the U.K. North Sea (North Sea), and Argentina.",Distressed,http://www.apachecorp.com,23.6Bil,-18005.0Mil,4.9Bil,"3,860",Energy,Oil & Gas E&P
AIV,Apartment Investment & Management Co,"Apartment Investment & Management Co is a self-administered and self-managed real estate investment trust, or REIT, engaged in the ownership and operation of a diversified portfolio of apartment properties.",Hard,http://www.aimco.com,6.3Bil,0.3Bil,1.0Bil,"1,591",Real Estate,REIT - Residential
ARI,Apollo Commercial Real Estate Finance Inc,"Apollo Commercial Real Estate Finance Inc is a real estate investment trust that focuses on originates, acquires, invests in and manages performing commercial first mortgage loans, subordinate financings, commercial mortgage-backed securities.",Hard,http://www.apolloreit.com,1.4Bil,0.1Bil,0.2Bil,,Real Estate,REIT - Diversified
APO,Apollo Global Management LLC Class A,"Apollo Global Management LLC along with its subsidiaries operates as an alternative asset management company. It raises, invests & manages private equity, credit & real estate funds as well as strategic investment accounts, on behalf of it clients.",High,http://www.agm.com,7.8Bil,0.2Bil,1.5Bil,974,Financial Services,Asset Management
APLE,Apple Hospitality REIT Inc,"Apple Hospitality REIT Inc operates as a real estate investment trust in the lodging industry. The Company has investment in hotels, guest rooms and resorts in the United States.",Hard,http://www.applehospitalityreit.com,4.0Bil,85.3Mil,1.0Bil,54,Real Estate,REIT - Hotel & Motel
ATR,AptarGroup Inc,"AptarGroup, Inc., is a solution provider of packaging delivery solutions for the beauty, personal care, home care, prescription drug, consumer health care, injectables, food and beverage markets.",Cyclical,http://www.aptar.com,4.6Bil,0.2Bil,2.3Bil,"13,000",Consumer Cyclical,Packaging & Containers
WTR,Aqua America Inc,"Aqua America Inc is the holding company for regulated utilities providing water or wastewater services concentrated in Pennsylvania, Ohio, Texas, Illinois, North Carolina, New Jersey, Indiana, and Virginia.",Classic,https://www.aquaamerica.com,5.2Bil,0.2Bil,0.8Bil,"1,617",Utilities,Utilities - Regulated Water
WAAS,AquaVenture Holdings Ltd,AquaVenture Holdings Ltd is a provider of desalination and wastewater treatment solutions and filtered water systems.,,http://www.aquaventure.com,0.6Bil,-44.5Mil,0.1Bil,528,Utilities,Utilities - Regulated Water
ARMK,Aramark,"Aramark is a provider of food, facilities and uniform services to education, healthcare, business and industry, and sports, leisure and corrections clients.",Cyclical,http://www.aramark.com,8.3Bil,0.3Bil,14.4Bil,"265,500",Consumer Cyclical,Restaurants
ABR,Arbor Realty Trust Inc,Arbor Realty Trust Inc is a real estate finance company. The Company invests in a diversified portfolio of structured finance assets in the multi-family and commercial real estate markets. It also invest in real estate-related bridge and mezzanine loans.,Distressed,http://www.arborrealtytrust.com,0.4Bil,34.8Mil,0.1Bil,235,Real Estate,REIT - Diversified
ARC,ARC Document Solutions Inc,"ARC Document Solutions Inc engaged in providing document management solutions to businesses, including non-residential segment of architecture, engineering & construction industry. Its offering include; onsite, digital, color & traditional reprographics.",Cyclical,http://www.e-arc.com,0.2Bil,-47.4Mil,0.4Bil,"2,600",Industrials,Business Services
